year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,"Irrigated or post-flooding cropland ","Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1.8071122E7,1.6570116E7,536134.44,4854658.0,7723730.5,7589115.5,2.8791456E7,1.3708079E7,1767853.2,8019670.5,1.4982471E7,4755962.0,1973.5609,1.0122275E7,8703.809,3.175215,4687486.0,6786359.5,2421391.8,2.2691132E7,448323.6,4227177.0,2.5936966E7,2842188.0,1.7266912E7,10.965607,139958.88,708920.94,2127152.0,329026.78,4365569.5,831760.6,3.8605964E7,222281.27,186679.53,1.0616061E7,4567414.5
1993,1.8066826E7,1.6565375E7,536054.9,4853755.5,7744519.0,7592608.5,2.8731994E7,1.3705842E7,1767842.1,8019637.5,1.4981689E7,4755961.0,1973.5609,1.0122152E7,8702.621,3.175215,4687392.5,6786258.0,2422169.8,2.2696614E7,448322.9,4227006.0,2.5936318E7,2842186.8,1.7266462E7,10.965607,139955.25,708900.25,2122898.2,328835.44,4373284.5,855390.9,3.8605132E7,222268.28,186673.34,1.0633641E7,4567414.0
1994,1.8061652E7,1.6559357E7,535938.75,4852889.0,7743718.5,7591640.0,2.8731858E7,1.370522E7,1767838.8,8019613.5,1.4980832E7,4755959.0,1973.5609,1.012208E7,8700.857,3.175215,4687295.5,6784926.5,2422001.8,2.2695564E7,448321.84,4226842.0,2.5933498E7,2842185.8,1.7266034E7,10.965607,139951.88,708878.1,2122846.0,328783.22,4373076.5,879350.56,3.8606124E7,222256.97,186706.39,1.0630694E7,4567414.0
1995,1.8142296E7,1.6672007E7,539455.9,4878424.0,7814799.5,7531549.0,2.854466E7,1.3624578E7,1770322.6,8019211.0,1.4973955E7,4768119.0,1973.5162,1.0137376E7,8875.01,3.175215,4706206.0,6804588.5,2419239.5,2.2665018E7,449677.16,4231116.0,2.5926378E7,2842185.0,1.7229742E7,10.965607,140202.19,711239.44,2125641.5,330765.3,4347485.0,904082.56,3.863204E7,223099.08,187487.88,1.0640842E7,4567413.5
1996,1.8160976E7,1.6701886E7,540442.25,4885397.0,7845773.5,7506297.5,2.8504408E7,1.3615165E7,1772305.0,8039562.0,1.4952155E7,4772928.5,1971.069,1.0139224E7,8935.32,3.175215,4713258.0,6810304.0,2416903.5,2.2590198E7,449469.9,4236394.5,2.59153E7,2842183.8,1.7225292E7,10.965607,140378.0,713151.94,2126675.5,331353.06,4339081.5,928966.25,3.8639436E7,223542.31,188557.36,1.0666742E7,4567413.0
1997,1.8201202E7,1.6741469E7,541852.8,4894462.0,7888205.5,7507878.0,2.8440258E7,1.3581417E7,1774166.5,8053559.0,1.4927569E7,4776816.0,1970.1306,1.0139784E7,8976.8125,3.175215,4718031.0,6821827.5,2416140.0,2.252433E7,449884.8,4241172.5,2.591604E7,2842182.8,1.7203662E7,10.965607,140495.25,714021.5,2127375.2,331822.0,4333523.0,952990.6,3.8634588E7,223740.9,189010.97,1.0684192E7,4567412.5
1998,1.8247748E7,1.6804084E7,543235.4,4901585.0,7955907.0,7524657.5,2.832062E7,1.3498373E7,1775609.6,8063114.0,1.4890795E7,4780744.5,1969.4302,1.014114E7,9036.068,3.175215,4717347.0,6834085.5,2416328.8,2.2487298E7,451228.5,4246953.5,2.5931292E7,2842181.8,1.7191032E7,10.965607,140764.1,716757.06,2128966.2,332745.4,4325809.5,978808.4,3.86287E7,224062.52,189439.33,1.0702228E7,4567412.0
1999,1.8348066E7,1.6945656E7,546434.25,4925903.5,8071672.5,7505051.5,2.8167012E7,1.33345E7,1782626.5,8107033.5,1.4847495E7,4787509.0,1969.2328,1.0138936E7,9069.465,3.175215,4725898.5,6899237.5,2419290.0,2.235952E7,454209.9,4261157.5,2.5996336E7,2842180.0,1.712437E7,10.965607,141654.78,720195.25,2133317.5,333468.1,4282893.5,1003678.1,3.860216E7,224763.84,190219.02,1.0711145E7,4567411.5
2000,1.8429768E7,1.702359E7,548135.9,4936105.5,8134213.5,7495024.5,2.8129832E7,1.3288072E7,1787144.9,8160742.0,1.4812969E7,4795211.5,1965.178,1.0138775E7,9079.309,3.175215,4724983.5,6934981.5,2422458.2,2.2223822E7,456984.56,4274386.5,2.601133E7,2842178.0,1.7008738E7,10.965607,142482.38,728706.3,2141555.5,333921.06,4246349.0,1030417.44,3.8596416E7,225049.22,190630.42,1.0718601E7,4567411.0
2001,1.8450238E7,1.7072826E7,549814.06,4942117.0,8154910.0,7452638.5,2.8084138E7,1.3236352E7,1790189.5,8179869.5,1.4807208E7,4809343.0,1965.3121,1.0153213E7,9137.541,3.175215,4734766.5,6974475.5,2404848.5,2.2170882E7,462104.25,4283707.5,2.6026134E7,2842177.5,1.6962316E7,10.965607,143052.67,733774.06,2147399.0,334697.78,4197057.5,1105073.1,3.860352E7,225493.77,191336.33,1.0707836E7,4567411.0
